Program.cs,KeyboardLayoutForm,-,CreateParams,property,CreateParams,폼 생성 시 윈도우 스타일(WS_EX_NOACTIVATE 등) 오버라이드
Program.cs,KeyboardLayoutForm,-,ShowWithoutActivation,property,bool,폼을 띄울 때 포커스를 뺏지 않도록 설정 (true)
Program.cs,KeyboardLayoutForm,KeyboardLayoutForm,-,-,method,"폼 초기화, 크기/위치 설정 및 더블클릭 이벤트 연결 (생성자)"
Program.cs,KeyboardLayoutForm,OnResize,-,-,void,창 크기 조절 시 원본 이미지 비율에 맞춰 폼 크기를 강제 조정
Program.cs,KeyboardLayoutForm,OnFormClosing,-,-,void,폼 닫기 요청 시 파괴하지 않고 숨기기(Hide) 처리
Program.cs,KeyboardLayoutForm,UpdateImage,-,-,void,리소스에서 키보드 배열 이미지를 읽어와 PictureBox 갱신
Program.cs,TextOverlayForm,-,-,-,class,입력 문자 오버레이를 화면(캐럿 근처)에 표시하는 폼 클래스
Program.cs,TextOverlayForm,-,_hideTimer,readonly,Timer,일정 시간 후 오버레이를 숨기기 위한 타이머
Program.cs,TextOverlayForm,-,_displayText,field,string,화면에 렌더링할 텍스트 문자열
Program.cs,TextOverlayForm,-,_displayFontSize,field,float,렌더링할 텍스트의 폰트 크기
Program.cs,TextOverlayForm,-,CreateParams,property,CreateParams,"오버레이 윈도우 스타일(투명, 포커스 무시 등) 설정"
Program.cs,TextOverlayForm,-,ShowWithoutActivation,property,bool,오버레이가 포커스를 가져가지 않게 설정 (true)
Program.cs,TextOverlayForm,TextOverlayForm,-,-,method,타이머 초기화 및 페인트(Paint) 이벤트 연결 (생성자)
Program.cs,TextOverlayForm,ShowOverlay,-,-,void,오버레이의 크기/위치를 갱신하고 타이머를 재시작하여 텍스트 표시
Program.cs,TextOverlayForm,RenderOverlayText,-,-,void,PaintEventArgs를 사용해 화면 정중앙에 텍스트 렌더링
Program.cs,TextOverlayForm,Clear,-,-,void,타이머를 정지하고 오버레이 폼을 숨김 처리
Program.cs,RegistryManager,-,-,-,class,Copilot 키 등 레지스트리 키맵핑(Scancode Map)을 조작하는 도구 클래스
Program.cs,RegistryManager,-,RegPath,const,string,키보드 레이아웃 레지스트리 경로
Program.cs,RegistryManager,-,RegValue,const,string,수정할 레지스트리 값 이름 (Scancode Map)
Program.cs,RegistryManager,-,MappingBytes,readonly,array,한자키 매핑을 위한 바이트 배열 데이터
Program.cs,RegistryManager,IsAdmin,-,-,bool,현재 프로세스가 관리자 권한으로 실행되었는지 검사
Program.cs,RegistryManager,IsMappingApplied,-,-,bool,레지스트리에 이미 키맵핑이 적용되어 있는지 확인
Program.cs,RegistryManager,ToggleMapping,-,-,bool,키맵핑 데이터를 레지스트리에 추가하거나 제거
Program.cs,MainForm,-,-,-,class,"앱의 메인 백그라운드 폼으로, 트레이/UI 제어 및 IME 상태 동기화를 담당"
Program.cs,MainForm,-,Instance,property,MainForm,MainForm의 싱글톤 인스턴스 접근 속성
Program.cs,MainForm,-,LastValidHwnd,property,IntPtr,마지막으로 확인된 유효한 윈도우 핸들 캐시
Program.cs,MainForm,-,LastValidFocusHwnd,property,IntPtr,마지막으로 입력 포커스를 가진 컨트롤 핸들 캐시
Program.cs,MainForm,-,HiddenFormSize,const,int,메인 폼을 숨기기 위한 최소 윈도우 크기
Program.cs,MainForm,-,HiddenFormLocation,const,int,메인 폼을 화면 밖으로 치우기 위한 위치 좌표
Program.cs,MainForm,-,PointerDiagonalFactor,const,float,포인터(화살표) 우하단 인디케이터 배치를 위한 대각선 비율
Program.cs,MainForm,-,_assetCache,readonly,dictionary,각 ImeState별 렌더링된 커서와 아이콘 자원을 보관하는 캐시
Program.cs,MainForm,-,_stateCheckTimer,readonly,Timer,IME 상태 변화를 주기적으로 모니터링하는 메인 루프 타이머
Program.cs,MainForm,-,_sysTrayIcon,readonly,NotifyIcon,윈도우 작업 표시줄 트레이 아이콘 객체
Program.cs,MainForm,-,_isTextOverlayEnabled,field,bool,현재 텍스트 오버레이 모드 활성화 여부
Program.cs,MainForm,-,_activePointerMode,field,enum,"현재 선택된 포인터 변경 모드 (WinDefault, WinColor 등)"
Program.cs,MainForm,-,_activeCapsMode,field,enum,현재 선택된 CapsLock 입력 맵핑 모드
Program.cs,MainForm,PointerMode,-,-,enum,포인터 동작 방식을 정의하는 열거형
Program.cs,MainForm,CapsMode,-,-,enum,"Caps 모드(공학, 팔리, 일본어 등)를 정의하는 열거형"
Program.cs,MainForm.ActiveInputModeContext,-,-,-,struct,현재 활성화된 입력기 모드 및 상태 플래그를 담는 구조체
Program.cs,MainForm.CapsModeStateMapping,-,-,-,struct,Caps 모드와 ImeState를 연결하는 매핑용 구조체
Program.cs,MainForm.StateAssets,-,-,-,class,"각 상태별로 생성된 커서, 트레이 아이콘 등의 자원을 관리 (IDisposable)"
Program.cs,MainForm,MainForm,-,-,method,"폼 숨김 처리, 트레이 아이콘/메뉴 빌드 및 글로벌 훅 등록 (생성자)"
Program.cs,MainForm,BuildTrayMenu,-,-,void,우클릭 시 나타나는 트레이 컨텍스트 메뉴 동적 구성
Program.cs,MainForm,AddMenuToggle,-,-,ToolStripMenuItem,토글형 메뉴 아이템을 생성하고 이벤트 핸들러를 바인딩하는 유틸리티
Program.cs,MainForm,WndProc,-,-,void,윈도우 메시지 처리 (디스플레이 변경 감지 등)
Program.cs,MainForm,OnLoad,-,-,void,프로그램 초기 로드 시 윈도우 상태 감지 및 타이머 시작
Program.cs,MainForm,OnDisplaySettingsChanged,-,-,void,모니터 해상도/배율 변경 시 포인터 자원 재생성 스케줄링
Program.cs,MainForm,UpdatePointerMode,-,-,void,포인터 모드 변경 및 UI 자원 동기화 트리거
Program.cs,MainForm,UpdateCapsMode,-,-,void,Caps 모드 변경 및 대상 윈도우로 IME 강제 동기화 트리거
Program.cs,MainForm,GetCapsModeOverlayText,-,-,string,현재 활성화된 Caps 모드의 이름을 한글 문자열로 반환
Program.cs,MainForm,EnforceCapsModeToTarget,-,-,void,특정 윈도우에 선택된 Caps 모드(IME 한글 상태 포함)를 강제 주입
Program.cs,MainForm,ProcessStateCheck,-,-,void,"(Timer Tick) 포그라운드 윈도우 감지, IME 감지, UI 오버레이 동기화 메인 로직"
Program.cs,MainForm,SyncSystemHangulState,-,-,void,포커스가 바뀔 때 이전 윈도우와 현재 윈도우의 한글 상태를 동기화
Program.cs,MainForm,ResolveInputModeContext,-,-,ActiveInputModeContext,감지된 ImeState와 설정된 CapsMode를 기반으로 현재 키보드 훅 컨텍스트를 결정
Program.cs,MainForm,ShowOverlay,-,-,void,동적 DPI를 계산하여 입력 문자를 오버레이 창에 출력
Program.cs,MainForm,ResolveCaretPosition,-,-,Point,"GUI 스레드 정보를 이용해 현재 텍스트 입력 캐럿(Caret)의 X,Y 화면 좌표 반환"
Program.cs,MainForm,RebuildStateAssets,-,-,void,현재 디스플레이 DPI에 맞게 모든 테마의 커서 및 아이콘 에셋을 메모리에 렌더링/캐시
Program.cs,MainForm,BuildTrayIcon,-,-,Icon,"주어진 배경색, 전경색, 텍스트(알파벳)를 합성하여 트레이용 Icon(ico) 객체 생성"
Program.cs,MainForm,ApplyVisualState,-,-,void,인식된 상태(ImeState)에 맞춰 트레이 아이콘 변경 및 시스템 포인터(커서) 교체
Program.cs,MainForm,RefreshKeyboardLayoutOverlay,-,-,void,현재 입력 모드 및 Shift(물리/가상) 키 상태에 맞춰 화면의 키보드 배열 이미지 갱신
Program.cs,MainForm,RenderMiniIndicator,-,-,void,엑셀/한글 등 타겟 앱에서 포인터(화살표/IBeam) 위치를 추적하여 작은 원 인디케이터 렌더링
Program.cs,MainForm,EvaluatePointerIsIBeam,-,-,bool,현재 마우스 포인터의 상태가 텍스트 입력 커서(I-Beam) 상태인지 판별
Program.cs,MainForm,SearchFocusedInputHwnd,-,-,IntPtr,특정 윈도우 핸들(최상위)에서 실제 텍스트 입력 포커스를 가진 자식 핸들 검색
Program.cs,MainForm,EvaluateTargetProcess,-,-,bool,"지정된 윈도우 핸들의 프로세스가 인디케이터 표시 대상(Excel, Hwp 등)인지 검사"
Program.cs,MainForm,RestoreDefaults,-,-,void,운영체제 기본 마우스 시스템 포인터 설정으로 복구 (종료 시 등 호출)
Program.cs,MainForm,UpdateLayeredIndicator,-,-,void,UpdateLayeredWindow API를 이용해 알파 채널을 가진 투명 미니 인디케이터를 화면에 배치
Program.cs,MainForm,RenderIndicatorBuffer,-,-,void,미니 인디케이터(작은 원)를 메모리 DC에 GDI+ 기반 고품질 비트맵으로 렌더링
file/DLL,class/struct/interface,method/function,constant/variable,category,data type,function or roles
Lang.cs,-,-,-,-,file,Pali어/일본어/특수기호 자판 매핑 및 키 입력 처리 소스 파일
Lang.cs,VirtualKeyCodes,-,-,-,class,가상 키 코드(Virtual Key Codes) 상수 정의 클래스
Lang.cs,VirtualKeyCodes,-,Shift,const,int,Shift 키 가상 키 코드 (0x10)
Lang.cs,VirtualKeyCodes,-,Ctrl,const,int,Control 키 가상 키 코드 (0x11)
Lang.cs,VirtualKeyCodes,-,Right,const,int,오른쪽 화살표 키 가상 키 코드 (0x27)
Lang.cs,VirtualKeyCodes,-,Escape,const,int,ESC 키 가상 키 코드 (0x1B)
Lang.cs,VirtualKeyCodes,-,Backspace,const,int,Backspace 키 가상 키 코드 (0x08)
Lang.cs,VirtualKeyCodes,-,LWin,const,int,왼쪽 Windows 키 가상 키 코드 (0x5B)
Lang.cs,VirtualKeyCodes,-,RWin,const,int,오른쪽 Windows 키 가상 키 코드 (0x5C)
Lang.cs,VirtualKeyCodes,-,vk_B,const,int,B 키 가상 키 코드 (0x42)
Lang.cs,VirtualKeyCodes,-,vk_C,const,int,C 키 가상 키 코드 (0x43)
Lang.cs,VirtualKeyCodes,-,vk_H,const,int,H 키 가상 키 코드 (0x48)
Lang.cs,VirtualKeyCodes,-,vk_J,const,int,J 키 가상 키 코드 (0x4A)
Lang.cs,VirtualKeyCodes,-,vk_K,const,int,K 키 가상 키 코드 (0x4B)
Lang.cs,VirtualKeyCodes,-,vk_L,const,int,L 키 가상 키 코드 (0x4C)
Lang.cs,VirtualKeyCodes,-,vk_M,const,int,M 키 가상 키 코드 (0x4D)
Lang.cs,VirtualKeyCodes,-,vk_N,const,int,N 키 가상 키 코드 (0x4E)
Lang.cs,VirtualKeyCodes,-,vk_P,const,int,P 키 가상 키 코드 (0x50)
Lang.cs,VirtualKeyCodes,-,vk_Y,const,int,Y 키 가상 키 코드 (0x59)
Lang.cs,VirtualKeyCodes,-,OemYen,const,int,엔화/원화 특수키 가상 키 코드 (0xDC)
Lang.cs,VirtualKeyCodes,-,OemColon,const,int,콜론 특수키 가상 키 코드 (0xBA)
Lang.cs,VirtualKeyCodes,-,OemComma,const,int,쉼표 특수키 가상 키 코드 (0xBC)
Lang.cs,VirtualKeyCodes,-,OemPeriod,const,int,마침표 특수키 가상 키 코드 (0xBE)
Lang.cs,VirtualKeyCodes,-,OemSlash,const,int,슬래시 특수키 가상 키 코드 (0xBF)
Lang.cs,KeyboardLayoutAnalyzer,-,-,-,class,키보드 레이아웃 분석 및 문자 변환 유틸리티 클래스
Lang.cs,KeyboardLayoutAnalyzer,CheckCopilotShift,-,method,bool,Copilot 매핑 활성화 시 Win 키 조합 조건 확인 및 Shift 상태 조정
Lang.cs,KeyboardLayoutAnalyzer,GetChar,-,method,string,가상 키 코드와 Shift 상태를 조합하여 해당하는 문자열 반환
Lang.cs,KeyboardLayoutAnalyzer,GetStandardShiftedSymbol,-,method,string,Shift 조합 시 기본 표준 기호 문자열 반환
Lang.cs,KeyboardLayoutAnalyzer,IsSymbolOrNumber,-,method,bool,해당 키 코드가 숫자 또는 기호 키 영역인지 판별
Lang.cs,KeyboardLayoutAnalyzer,IsSymbolOrNumberOrLetter,-,method,bool,해당 키 코드가 알파벳/숫자/기호 영역인지 판별
Lang.cs,KeyboardLayoutAnalyzer,HandleGlobalKey2Mode,-,method,bool,글로벌 Key2 모드에서 기호/숫자/문자 입력 처리
Lang.cs,IKeyProcessor,-,-,-,interface,키 입력 처리 모듈 작성을 위한 기본 인터페이스
Lang.cs,IKeyProcessor,-,IsVirtualShift,property,bool,가상 Shift 상태 활성화 여부
Lang.cs,IKeyProcessor,-,CurrentLayer,property,int,현재 레이어 단계 번호
Lang.cs,IKeyProcessor,ProcessKeyDown,-,method,bool,키 누름(KeyDown) 이벤트 발생 시 언어별 입력 변환 처리
Lang.cs,IKeyProcessor,ProcessHanjaKey,-,method,bool,한자 키 누름 이벤트 처리 및 IME 상태 전환
Lang.cs,IKeyProcessor,OnMouseClick,-,method,void,마우스 클릭 발생 시 입력 상태 및 연속 조합 초기화
Lang.cs,IKeyProcessor,ToggleVirtualShift,-,method,void,가상 Shift 상태 토글
Lang.cs,KeyProcessorFactory,-,-,-,class,언어별 KeyProcessor 객체를 제공하는 싱글톤 팩토리 클래스
Lang.cs,KeyProcessorFactory,-,Engineer,readonly,class,공학용 특수기호 키 프로세서 인스턴스
Lang.cs,KeyProcessorFactory,-,Pali,readonly,class,Pali어 키 프로세서 인스턴스
Lang.cs,KeyProcessorFactory,-,Japanese1,readonly,class,일본어1(조합형) 키 프로세서 인스턴스
Lang.cs,KeyProcessorFactory,-,Japanese2,readonly,class,일본어2(조합형) 키 프로세서 인스턴스
Lang.cs,KeyProcessorFactory,-,Japanese3,readonly,class,일본어3(3Layer) 키 프로세서 인스턴스
Lang.cs,OverlayHelper,-,-,-,class,화면 오버레이 UI 제어를 위한 헬퍼 클래스
Lang.cs,OverlayHelper,ClearOverlay,-,method,void,MainForm 오버레이 표시 초기화/지우기 실행
Lang.cs,TextSelectionUtils,-,-,-,class,UI Automation 및 클립보드 기반 선택 텍스트 읽기/대체 유틸리티 클래스
Lang.cs,TextSelectionUtils.ClipboardConfig,-,-,-,struct,클립보드 동작 및 타임아웃/재시도 상수 정의 구조체
Lang.cs,TextSelectionUtils.ClipboardConfig,-,UnicodeTextFormat,const,int,Win32 클립보드 텍스트 포맷 (CF_UNICODETEXT=13)
Lang.cs,TextSelectionUtils.ClipboardConfig,-,OpenRetryCount,const,int,클립보드 열기 재시도 횟수 (3회)
Lang.cs,TextSelectionUtils.ClipboardConfig,-,OpenRetryDelayMs,const,int,클립보드 열기 재시도 대기 시간 (10ms)
Lang.cs,TextSelectionUtils.ClipboardConfig,-,CopyPollingRetryCount,const,int,클립보드 복사 폴링 재시도 횟수 (20회)
Lang.cs,TextSelectionUtils.ClipboardConfig,-,CopyPollingDelayMs,const,int,클립보드 복사 폴링 대기 시간 (20ms)
Lang.cs,TextSelectionUtils.ClipboardConfig,-,RestoreDelayMs,const,int,클립보드 원래 복사본 복원 지연 시간 (400ms)
Lang.cs,TextSelectionUtils.ClipboardConfig,-,SelectionCancelDelayMs,const,int,선택 영역 취소 동작 지연 시간 (20ms)
Lang.cs,TextSelectionUtils,-,IsConverting,field,bool,텍스트 변환 작업 수행 중 여부 플래그
Lang.cs,TextSelectionUtils,ForceReleaseCopilotModifiers,-,method,void,Copilot 키 입력 후 누르고 있던 조합키(Win Shift) 강제 해제
Lang.cs,TextSelectionUtils,ExecuteOnStaThread,-,method,void,STA 단일 스레드 아파트먼트 모드로 지정 작업 실행
Lang.cs,TextSelectionUtils,TransformAndReplaceText,-,method,void,선택된 텍스트/직전 출력 문자를 변환하여 덮어쓰기 수행
Lang.cs,TextSelectionUtils,ReadSelectedText,-,method,void,UI Automation 및 Win32 클립보드를 이용해 현재 선택된 텍스트 읽기
Lang.cs,TextSelectionUtils,RestoreClipboardAsync,-,method,void,백그라운드에서 이전 클립보드 데이터를 비동기 복원
Lang.cs,TextSelectionUtils,CancelSelection,-,method,void,텍스트 선택 상태 해제(오른쪽 화살표 키 전송)
Lang.cs,TextSelectionUtils,SendRight,-,method,void,오른쪽 방향키 키보드 입력 시뮬레이션
Lang.cs,TextSelectionUtils,SendCtrlC,-,method,void,Ctrl+C 키보드 입력 시뮬레이션
Lang.cs,TextSelectionUtils,SendInputsSafe,-,method,void,SendInput Win32 API를 사용한 안전한 키보드 이벤트 입력 전송
Lang.cs,TextSelectionUtils,MakeKeyDown,-,method,struct,가상 키 코드 기반 KeyDown INPUT 구조체 생성
Lang.cs,TextSelectionUtils,MakeKeyUp,-,method,struct,가상 키 코드 기반 KeyUp INPUT 구조체 생성
Lang.cs,TextSelectionUtils,GetTextWin32,-,method,string,Win32 API를 사용하여 클립보드에서 텍스트 직접 추출
Lang.cs,TextSelectionUtils,ClearWin32,-,method,bool,Win32 API를 사용하여 클립보드 비우기
Lang.cs,JapaneseShared,-,-,-,class,일본어 자판 공통 히라가나/가타카나/탁음 변환 맵 및 로직 클래스
Lang.cs,JapaneseShared,-,HiraToKata,readonly,dictionary,히라가나 -> 가타카나 일대일 변환 매핑 테이블
Lang.cs,JapaneseShared,-,KataToHira,readonly,dictionary,가타카나 -> 히라가나 역방향 변환 매핑 테이블
Lang.cs,JapaneseShared,-,TransformMap,readonly,dictionary,청음-탁음-반탁음-요음 간 상호 변환 매핑 테이블
Lang.cs,JapaneseShared,-,YoonHiraganaChains,readonly,dictionary,히라가나 요음/탁음 순환 체인 데이터 구조
Lang.cs,JapaneseShared,-,YoonKatakanaChains,readonly,dictionary,가타카나 요음/탁음 순환 체인 데이터 구조
Lang.cs,JapaneseShared,GetYoonCategory,-,method,int,문자의 요음/탁음 체인 내 인덱스 카테고리 위치 반환
Lang.cs,JapaneseShared,GetNextYoonChar,-,method,string,체인 내에서 다음 단계의 요음/탁음 문자로 순환 변환
Lang.cs,JapaneseShared,ConvertYoonToCategory,-,method,string,지정한 카테고리 단계의 요음/탁음 문자로 변환
Lang.cs,JapaneseShared,ApplyHiraganaKatakanaTransformation,-,method,string,문자열 전체에 대해 히라가나<->가타카나 상호 변환 적용
Lang.cs,JapaneseShared,ApplyYoonTransformation,-,method,string,문자열 전체에 대해 요음/탁음 순환 변환 적용
Lang.cs,PaliProcessor,-,-,-,class,Pali어 키 입력 및 오버레이 처리 클래스
Lang.cs,PaliProcessor,-,_isVirtualShift,field,bool,Pali어 가상 Shift 상태 내부 필드
Lang.cs,PaliProcessor,-,IsVirtualShift,property,bool,가상 Shift 상태 읽기 프로퍼티
Lang.cs,PaliProcessor,-,CurrentLayer,property,int,현재 레이어 단계 (1 고정)
Lang.cs,PaliProcessor,ToggleVirtualShift,-,method,void,가상 Shift 상태 토글
Lang.cs,PaliProcessor,ProcessHanjaKey,-,method,bool,한자키 입력 시 Pali_Sanskrit 입력 모드 전환
Lang.cs,PaliProcessor,ProcessKeyDown,-,method,bool,Pali어 키 입력 이벤트 처리 및 문자 조합 전송
Lang.cs,PaliProcessor,OnMouseClick,-,method,void,마우스 클릭 시 마지막 출력 문자 초기화
Lang.cs,PaliMap,-,-,-,class,Pali어 문자 매핑 테이블 및 변환 처리 static 클래스
Lang.cs,PaliMap,-,_lastOutputChar,field,string,마지막으로 출력된 Pali 문자 저장 변수
Lang.cs,PaliMap,-,TransformationRules,readonly,dictionary,Pali어 특수문자 단일 변환 규칙 매핑
Lang.cs,PaliMap,-,_paliChains,readonly,dictionary,Pali어 알파벳별 특수기호 순환 체인 배열 매핑
Lang.cs,PaliMap,-,_paliCategoryMap,readonly,dictionary,Pali어 특수문자 카테고리 인덱스 맵
Lang.cs,PaliMap,-,_paliReverseChainMap,readonly,dictionary,Pali어 특수문자의 역방향 체인 배열 맵
Lang.cs,PaliMap,-,Map,readonly,dictionary,가상 키 코드별 Pali어 Normal/Shift 대응 표
Lang.cs,PaliMap,SetLastOutputChar,-,method,void,마지막 출력 문자 설정
Lang.cs,PaliMap,ProcessKey,-,method,string,키 입력 코드를 받아서 해당하는 Pali 문자 생성 및 오버레이 표시
Lang.cs,PaliMap,HandlePaliTransformation,-,method,void,Pali어 특수문자 변환/덮어쓰기 핸들러 실행
Lang.cs,PaliMap,ApplyPaliTransformation,-,method,string,선택 영역 또는 문자열에 Pali어 특수기호 변환 규칙 적용
Lang.cs,EngineerProcessor,-,-,-,class,공학용 특수기호 키 입력 처리 클래스
Lang.cs,EngineerProcessor,-,_isVirtualShift,field,bool,공학용 기호 가상 Shift 상태 내부 변수
Lang.cs,EngineerProcessor,-,IsVirtualShift,property,bool,가상 Shift 상태 프로퍼티
Lang.cs,EngineerProcessor,-,CurrentLayer,property,int,현재 레이어 단계 (1 고정)
